"relative_path","status","old_exists","clean_exists","old_full_path","clean_full_path","old_size","clean_size","old_modified_utc","clean_modified_utc","old_sha256","clean_sha256"
"src/kc_l/doctree/heuristics.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\doctree\heuristics.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\doctree\heuristics.py","1522","1522","2026-03-03T10:37:45.0633522Z","2026-03-03T10:37:45.0633522Z","A2710D84BB212C5E4E66FE0347820F59FA1A2AD82975DEEF3D1FA489545B6E1D","A2710D84BB212C5E4E66FE0347820F59FA1A2AD82975DEEF3D1FA489545B6E1D"
"src/kc_l/doctree/schema.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\doctree\schema.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\doctree\schema.py","669","669","2026-03-03T10:37:22.4248582Z","2026-03-03T10:37:22.4248582Z","4ECF0AC05763F916B7223DD734D327859A2CF924AA714E694C8A29FE58658B5B","4ECF0AC05763F916B7223DD734D327859A2CF924AA714E694C8A29FE58658B5B"
"src/kc_l/doctree/writers.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\doctree\writers.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\doctree\writers.py","566","566","2026-03-03T10:37:37.4903265Z","2026-03-03T10:37:37.4903265Z","5D15A6E8857A22D9C1FC04E151DDFFA1DBACD810889BE2AB13D0C043027531D7","5D15A6E8857A22D9C1FC04E151DDFFA1DBACD810889BE2AB13D0C043027531D7"
"src/kc_l/hierarchy_overlay/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy_overlay\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy_overlay\__init__.py","546","546","2026-03-10T00:47:12.8661833Z","2026-03-10T00:47:12.8661833Z","59EDE6187719C4F00FE26B3EC9D58DDA66E50E1B641714956046EE8BDCEDC086","59EDE6187719C4F00FE26B3EC9D58DDA66E50E1B641714956046EE8BDCEDC086"
"src/kc_l/hierarchy_overlay/builder.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy_overlay\builder.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy_overlay\builder.py","8637","8637","2026-03-10T00:56:49.4666106Z","2026-03-10T00:56:49.4666106Z","A4EA5F82D05F33F3793787966F2BF33F6370F56263FE918993F9557DE12F47E1","A4EA5F82D05F33F3793787966F2BF33F6370F56263FE918993F9557DE12F47E1"
"src/kc_l/hierarchy_overlay/model.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy_overlay\model.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy_overlay\model.py","1601","1601","2026-03-10T00:47:12.8661833Z","2026-03-10T00:47:12.8661833Z","AC08F3DB0201C7DD0193938A8E8FC019E98E21A22D9CA9A420845F5981EFB3B7","AC08F3DB0201C7DD0193938A8E8FC019E98E21A22D9CA9A420845F5981EFB3B7"
"src/kc_l/hierarchy_overlay/validator.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy_overlay\validator.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy_overlay\validator.py","13041","13041","2026-03-10T00:51:02.6137716Z","2026-03-10T00:51:02.6137716Z","2A2AF30C145F7F30DFBC7528FC67634BE02758AFDDDCF7364F1101EC1EC1845D","2A2AF30C145F7F30DFBC7528FC67634BE02758AFDDDCF7364F1101EC1EC1845D"
"src/kc_l/hierarchy/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy\__init__.py","0","0","2026-02-28T21:12:58.3784645Z","2026-02-28T21:12:58.3784645Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"src/kc_l/hierarchy/loader.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy\loader.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy\loader.py","1831","1831","2026-02-28T21:15:22.9724735Z","2026-02-28T21:15:22.9724735Z","7DA9BE383B0D294E4CDC22AB11B52FE6ACA517D42D7CD312E28E086A746629FB","7DA9BE383B0D294E4CDC22AB11B52FE6ACA517D42D7CD312E28E086A746629FB"
"src/kc_l/hierarchy/normalize.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy\normalize.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy\normalize.py","450","450","2026-02-28T21:15:38.7800607Z","2026-02-28T21:15:38.7800607Z","31873EE979A8A2C563AF17B82F9A0307085245A54715BA40BACCED26541595FD","31873EE979A8A2C563AF17B82F9A0307085245A54715BA40BACCED26541595FD"
